split,image,label,source_sample,source_image,source_kind,source_confidence,bbox_xyxy,bbox_yolo,angle,scale_x,scale_y,shear,tx,ty
train,images/train/low_conf_typical_01_01.jpg,labels/train/low_conf_typical_01_01.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"3.65,125.19,430.51,682.77",0 0.470897 0.394512 0.925950 0.544507,-5.371,1.0421,1.0415,0.5184,17.9207,-0.9382
train,images/train/low_conf_typical_01_02.jpg,labels/train/low_conf_typical_01_02.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"34.85,186.43,388.18,681.48",0 0.458820 0.423784 0.766446 0.483443,-0.4169,0.9823,0.9765,-0.3914,0.0888,24.5237
train,images/train/low_conf_typical_01_03.jpg,labels/train/low_conf_typical_01_03.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"23.84,177.69,408.25,676.50",0 0.468647 0.417085 0.833847 0.487127,-3.2495,0.9721,0.9523,0.9923,11.7544,13.9265
train,images/train/low_conf_typical_01_04.jpg,labels/train/low_conf_typical_01_04.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"32.02,153.30,402.13,691.66",0 0.470879 0.412578 0.802859 0.525749,0.5417,0.996,1.0605,1.8352,8.3867,22.2339
train,images/train/low_conf_typical_01_05.jpg,labels/train/low_conf_typical_01_05.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"0.00,127.27,407.41,666.15",0 0.441873 0.387410 0.883746 0.526254,-1.1127,1.0352,1.0555,2.8778,0.1176,-4.8027
train,images/train/low_conf_typical_01_06.jpg,labels/train/low_conf_typical_01_06.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"0.00,148.08,418.08,699.40",0 0.453451 0.413807 0.906901 0.538401,-4.3408,1.0647,1.0436,3.4778,-3.5825,19.115
train,images/train/low_conf_typical_01_07.jpg,labels/train/low_conf_typical_01_07.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"27.82,165.82,392.95,689.56",0 0.456370 0.417669 0.792041 0.511467,-0.8271,1.0098,1.0281,-0.5863,-0.1021,23.5453
train,images/train/low_conf_typical_01_08.jpg,labels/train/low_conf_typical_01_08.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"33.04,174.52,385.40,685.57",0 0.453844 0.419964 0.764345 0.499069,1.1286,0.9576,0.9994,2.0603,-1.023,23.574
train,images/train/low_conf_typical_01_09.jpg,labels/train/low_conf_typical_01_09.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"31.54,136.24,407.32,650.19",0 0.475984 0.383998 0.815153 0.501911,-2.5717,1.0319,0.9856,-1.9697,9.9855,-15.9669
train,images/train/low_conf_typical_01_10.jpg,labels/train/low_conf_typical_01_10.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"0.00,126.71,389.06,649.01",0 0.421978 0.378768 0.843955 0.510053,-2.3834,1.0147,1.008,2.1259,-15.6847,-19.1971
train,images/train/low_conf_typical_01_11.jpg,labels/train/low_conf_typical_01_11.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"21.46,151.79,402.37,653.85",0 0.459688 0.393380 0.826260 0.490297,3.5067,1.0572,0.9479,3.319,1.5287,-8.0681
train,images/train/low_conf_typical_01_12.jpg,labels/train/low_conf_typical_01_12.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"0.00,143.90,417.85,697.83",0 0.453204 0.411002 0.906409 0.540942,-2.897,1.0462,1.0652,3.3411,2.7505,19.3996
train,images/train/low_conf_typical_01_13.jpg,labels/train/low_conf_typical_01_13.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"32.07,127.81,411.21,655.47",0 0.480780 0.382462 0.822445 0.515297,-2.8802,1.0394,1.0084,-2.2059,12.4956,-15.2402
train,images/train/low_conf_typical_01_14.jpg,labels/train/low_conf_typical_01_14.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"0.00,143.79,429.44,706.38",0 0.465775 0.415121 0.931549 0.549399,5.0454,1.0267,1.0594,-2.5488,-15.1498,25.3914
train,images/train/low_conf_typical_01_15.jpg,labels/train/low_conf_typical_01_15.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"17.48,97.86,438.88,649.54",0 0.494967 0.364944 0.914094 0.538751,2.1083,1.0321,1.0698,-3.267,7.1003,-25.3541
train,images/train/low_conf_typical_01_16.jpg,labels/train/low_conf_typical_01_16.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"0.00,134.92,395.09,663.20",0 0.428510 0.389703 0.857020 0.515897,-0.2267,1.0568,1.0448,3.038,-13.643,-3.1649
train,images/train/low_conf_typical_01_17.jpg,labels/train/low_conf_typical_01_17.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"32.48,139.33,412.31,670.73",0 0.482420 0.395537 0.823923 0.518936,-2.5084,1.0204,1.0197,-3.9939,8.8549,-0.3604
val,images/val/low_conf_typical_01_18.jpg,labels/val/low_conf_typical_01_18.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"16.43,128.45,395.11,664.55",0 0.446356 0.387209 0.821416 0.523533,-2.5907,1.0533,1.0281,-2.5438,-4.2601,-8.1846
train,images/train/low_conf_typical_02_01.jpg,labels/train/low_conf_typical_02_01.txt,2,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-28d0bb2d6c1a.jpg,merged-low-conf,0.225,"0.00,382.86,460.00,841.66",0 0.498915 0.597910 0.997831 0.448046,1.7527,1.0422,1.0689,-3.2502,-4.9137,23.6959
